"表章項目 コード","表章項目","男女別 コード","男女別","全国 コード","全国","年齢各歳 コード","年齢各歳","/人口及び人口増減","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈","人口","注釈","死亡者数","注釈","入国超過","注釈","国籍の異動による純増減","注釈"
"008","人口【人】","001","男","00000","全国","02092","89＋90以上","","610996","","***","","***","","***","","***","","115180","","-9","","***","","***","","***","","***","","***","","609372","","***","","***","","***","","***","","114791","","-10","","3","","***","","***","","***","","***",""
"008","人口【人】","001","男","00000","全国","02093","90歳以上","","***","","***","","***","","***","","***","","***","","***","","***","","495807","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","494574","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01000","総数","","65167269","","***","","***","","***","","***","","651233","","63991","","***","","65050823","","***","","***","","***","","64153479","","***","","***","","***","","***","","648003","","-1462","","5996","","63972735","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","02001","0歳未満","","470796","","***","","***","","***","","***","","649","","-496","","***","","-","","***","","***","","***","","462725","","***","","***","","***","","***","","633","","115","","6","","-","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01001","0歳","","487050","","***","","***","","***","","***","","298","","-259","","***","","469651","","***","","***","","***","","479730","","***","","***","","***","","***","","294","","-323","","44","","462213","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01002","1歳","","469712","","***","","***","","***","","***","","117","","147","","***","","486493","","***","","***","","***","","463488","","***","","***","","***","","***","","116","","-214","","51","","479157","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01003","2歳","","475285","","***","","***","","***","","***","","57","","348","","***","","469742","","***","","***","","***","","468363","","***","","***","","***","","***","","57","","1","","52","","463209","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01004","3歳","","494551","","***","","***","","***","","***","","48","","190","","***","","475576","","***","","***","","***","","487935","","***","","***","","***","","***","","46","","-49","","54","","468359","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01005","4歳","","496773","","***","","***","","***","","***","","44","","172","","***","","494693","","***","","***","","***","","490403","","***","","***","","***","","***","","44","","-9","","32","","487894","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01006","5歳","","509465","","***","","***","","***","","***","","39","","139","","***","","496901","","***","","***","","***","","503740","","***","","***","","***","","***","","38","","19","","62","","490382","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01007","6歳","","510623","","***","","***","","***","","***","","30","","251","","***","","509565","","***","","***","","***","","505215","","***","","***","","***","","***","","29","","34","","60","","503783","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01008","7歳","","516587","","***","","***","","***","","***","","25","","340","","***","","510844","","***","","***","","***","","511200","","***","","***","","***","","***","","25","","139","","63","","505280","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01009","8歳","","526563","","***","","***","","***","","***","","22","","403","","***","","516902","","***","","***","","***","","521260","","***","","***","","***","","***","","19","","165","","53","","511377","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01010","9歳","","522513","","***","","***","","***","","***","","19","","369","","***","","526944","","***","","***","","***","","517525","","***","","***","","***","","***","","19","","123","","60","","521459","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01011","10歳","","519370","","***","","***","","***","","***","","31","","490","","***","","522863","","***","","***","","***","","514487","","***","","***","","***","","***","","30","","258","","64","","517689","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01012","11歳","","520159","","***","","***","","***","","***","","25","","598","","***","","519829","","***","","***","","***","","515530","","***","","***","","***","","***","","25","","335","","58","","514779","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01013","12歳","","539408","","***","","***","","***","","***","","30","","434","","***","","520732","","***","","***","","***","","534898","","***","","***","","***","","***","","30","","211","","76","","515898","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01014","13歳","","547551","","***","","***","","***","","***","","44","","278","","***","","539812","","***","","***","","***","","543061","","***","","***","","***","","***","","44","","103","","83","","535155","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01015","14歳","","564120","","***","","***","","***","","***","","56","","636","","***","","547785","","***","","***","","***","","559459","","***","","***","","***","","***","","56","","276","","94","","543203","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01016","15歳","","571922","","***","","***","","***","","***","","61","","106","","***","","564700","","***","","***","","***","","566983","","***","","***","","***","","***","","60","","-385","","41","","559773","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01017","16歳","","582518","","***","","***","","***","","***","","72","","416","","***","","571967","","***","","***","","***","","576998","","***","","***","","***","","***","","72","","-310","","69","","566579","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01018","17歳","","584312","","***","","***","","***","","***","","78","","5285","","***","","582862","","***","","***","","***","","578444","","***","","***","","***","","***","","78","","452","","56","","576685","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01019","18歳","","597516","","***","","***","","***","","***","","87","","9829","","***","","589519","","***","","***","","***","","587333","","***","","***","","***","","***","","81","","-1876","","75","","578874","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01020","19歳","","600325","","***","","***","","***","","***","","95","","6906","","***","","607258","","***","","***","","***","","583235","","***","","***","","***","","***","","94","","-2745","","80","","585451","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01021","20歳","","594668","","***","","***","","***","","***","","119","","5453","","***","","607136","","***","","***","","***","","573403","","***","","***","","***","","***","","117","","-633","","94","","580476","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01022","21歳","","603845","","***","","***","","***","","***","","122","","7656","","***","","600002","","***","","***","","***","","581069","","***","","***","","***","","***","","119","","2210","","123","","572747","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01023","22歳","","602226","","***","","***","","***","","***","","117","","6448","","***","","611379","","***","","***","","***","","578692","","***","","***","","***","","***","","113","","467","","92","","583283","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01024","23歳","","590852","","***","","***","","***","","***","","123","","4876","","***","","608557","","***","","***","","***","","565755","","***","","***","","***","","***","","118","","145","","77","","579138","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01025","24歳","","597409","","***","","***","","***","","***","","140","","2047","","***","","595605","","***","","***","","***","","572753","","***","","***","","***","","***","","134","","-515","","66","","565859","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01026","25歳","","595363","","***","","***","","***","","***","","145","","1582","","***","","599316","","***","","***","","***","","570794","","***","","***","","***","","***","","141","","-656","","96","","572170","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01027","26歳","","607178","","***","","***","","***","","***","","132","","1378","","***","","596800","","***","","***","","***","","580936","","***","","***","","***","","***","","130","","-449","","120","","570093","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01028","27歳","","621397","","***","","***","","***","","***","","153","","1519","","***","","608424","","***","","***","","***","","596380","","***","","***","","***","","***","","148","","-303","","138","","580477","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01029","28歳","","641078","","***","","***","","***","","***","","158","","1191","","***","","622763","","***","","***","","***","","617196","","***","","***","","***","","***","","153","","-264","","156","","596067","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01030","29歳","","660400","","***","","***","","***","","***","","187","","671","","***","","642111","","***","","***","","***","","636514","","***","","***","","***","","***","","184","","-298","","171","","616935","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01031","30歳","","671641","","***","","***","","***","","***","","208","","358","","***","","660884","","***","","***","","***","","648946","","***","","***","","***","","***","","204","","-316","","166","","636203","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01032","31歳","","701253","","***","","***","","***","","***","","191","","597","","***","","671791","","***","","***","","***","","678898","","***","","***","","***","","***","","187","","119","","180","","648592","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01033","32歳","","725266","","***","","***","","***","","***","","237","","747","","***","","701659","","***","","***","","***","","702774","","***","","***","","***","","***","","235","","372","","192","","679010","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01034","33歳","","735817","","***","","***","","***","","***","","255","","264","","***","","725776","","***","","***","","***","","712494","","***","","***","","***","","***","","251","","-238","","186","","703103","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01035","34歳","","738277","","***","","***","","***","","***","","298","","317","","***","","735826","","***","","***","","***","","713325","","***","","***","","***","","***","","289","","-133","","210","","712191","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01036","35歳","","744985","","***","","***","","***","","***","","298","","244","","***","","738296","","***","","***","","***","","723152","","***","","***","","***","","***","","290","","-17","","157","","713113","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01037","36歳","","777981","","***","","***","","***","","***","","335","","112","","***","","744931","","***","","***","","***","","755982","","***","","***","","***","","***","","325","","-62","","160","","723002","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01038","37歳","","797677","","***","","***","","***","","***","","380","","100","","***","","777758","","***","","***","","***","","775648","","***","","***","","***","","***","","372","","-13","","164","","755755","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01039","38歳","","829514","","***","","***","","***","","***","","414","","236","","***","","797397","","***","","***","","***","","809080","","***","","***","","***","","***","","408","","79","","140","","775427","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01040","39歳","","851144","","***","","***","","***","","***","","469","","269","","***","","829336","","***","","***","","***","","831874","","***","","***","","***","","***","","462","","174","","119","","808891","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01041","40歳","","892186","","***","","***","","***","","***","","533","","27","","***","","850944","","***","","***","","***","","872937","","***","","***","","***","","***","","521","","96","","130","","831705","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01042","41歳","","931753","","***","","***","","***","","***","","630","","447","","***","","891680","","***","","***","","***","","913272","","***","","***","","***","","***","","621","","334","","124","","872642","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01043","42歳","","982096","","***","","***","","***","","***","","751","","311","","***","","931570","","***","","***","","***","","963496","","***","","***","","***","","***","","743","","305","","116","","913109","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01044","43歳","","1002947","","***","","***","","***","","***","","768","","240","","***","","981656","","***","","***","","***","","983655","","***","","***","","***","","***","","752","","281","","108","","963174","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01045","44歳","","982740","","***","","***","","***","","***","","917","","119","","***","","1002419","","***","","***","","***","","962940","","***","","***","","***","","***","","895","","147","","89","","983292","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01046","45歳","","958222","","***","","***","","***","","***","","883","","359","","***","","981942","","***","","***","","***","","938370","","***","","***","","***","","***","","868","","320","","126","","962281","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01047","46歳","","929588","","***","","***","","***","","***","","968","","180","","***","","957698","","***","","***","","***","","909563","","***","","***","","***","","***","","945","","162","","122","","937948","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01048","47歳","","916694","","***","","***","","***","","***","","1065","","176","","***","","928800","","***","","***","","***","","897314","","***","","***","","***","","***","","1045","","197","","97","","908902","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01049","48歳","","897036","","***","","***","","***","","***","","1168","","24","","***","","915805","","***","","***","","***","","878309","","***","","***","","***","","***","","1140","","137","","76","","896563","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01050","49歳","","894761","","***","","***","","***","","***","","1267","","-88","","***","","895892","","***","","***","","***","","878526","","***","","***","","***","","***","","1241","","-4","","35","","877382","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01051","50歳","","702033","","***","","***","","***","","***","","1073","","73","","***","","893406","","***","","***","","***","","686649","","***","","***","","***","","***","","1058","","112","","62","","877316","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01052","51歳","","865396","","***","","***","","***","","***","","1399","","141","","***","","701033","","***","","***","","***","","850210","","***","","***","","***","","***","","1373","","114","","89","","685765","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01053","52歳","","810855","","***","","***","","***","","***","","1501","","-14","","***","","864138","","***","","***","","***","","796225","","***","","***","","***","","***","","1477","","16","","73","","849040","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01054","53歳","","791245","","***","","***","","***","","***","","1486","","-24","","***","","809340","","***","","***","","***","","776760","","***","","***","","***","","***","","1464","","30","","65","","794837","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01055","54歳","","765797","","***","","***","","***","","***","","1574","","-45","","***","","789735","","***","","***","","***","","753410","","***","","***","","***","","***","","1544","","67","","60","","775391","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01056","55歳","","754399","","***","","***","","***","","***","","1635","","52","","***","","764178","","***","","***","","***","","743309","","***","","***","","***","","***","","1615","","87","","60","","751993","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01057","56歳","","761782","","***","","***","","***","","***","","1774","","-129","","***","","752816","","***","","***","","***","","751082","","***","","***","","***","","***","","1755","","-8","","66","","741841","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01058","57歳","","776183","","***","","***","","***","","***","","1917","","-14","","***","","759879","","***","","***","","***","","766913","","***","","***","","***","","***","","1888","","6","","44","","749385","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01059","58歳","","757319","","***","","***","","***","","***","","2007","","-133","","***","","774252","","***","","***","","***","","748099","","***","","***","","***","","***","","1973","","-76","","44","","765075","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01060","59歳","","736650","","***","","***","","***","","***","","2120","","-32","","***","","755179","","***","","***","","***","","727994","","***","","***","","***","","***","","2082","","44","","8","","746094","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01061","60歳","","775112","","***","","***","","***","","***","","2382","","-163","","***","","734498","","***","","***","","***","","766851","","***","","***","","***","","***","","2355","","-118","","48","","725964","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01062","61歳","","800938","","***","","***","","***","","***","","2563","","-7","","***","","772567","","***","","***","","***","","793024","","***","","***","","***","","***","","2538","","27","","40","","764426","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01063","62歳","","802408","","***","","***","","***","","***","","2932","","-55","","***","","798368","","***","","***","","***","","795223","","***","","***","","***","","***","","2899","","5","","33","","790553","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01064","63歳","","855903","","***","","***","","***","","***","","3344","","123","","***","","799421","","***","","***","","***","","849317","","***","","***","","***","","***","","3311","","132","","33","","792362","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01065","64歳","","906857","","***","","***","","***","","***","","3829","","19","","***","","852682","","***","","***","","***","","900415","","***","","***","","***","","***","","3786","","44","","3","","846171","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01066","65歳","","959876","","***","","***","","***","","***","","4572","","-81","","***","","903047","","***","","***","","***","","954147","","***","","***","","***","","***","","4532","","-30","","12","","896676","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01067","66歳","","1032067","","***","","***","","***","","***","","5160","","-100","","***","","955223","","***","","***","","***","","1026485","","***","","***","","***","","***","","5109","","-12","","13","","949597","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01068","67歳","","1130664","","***","","***","","***","","***","","6344","","3","","***","","1026807","","***","","***","","***","","1125300","","***","","***","","***","","***","","6307","","29","","21","","1021377","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01069","68歳","","1120551","","***","","***","","***","","***","","6947","","-59","","***","","1124323","","***","","***","","***","","1115395","","***","","***","","***","","***","","6908","","-27","","31","","1119043","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01070","69歳","","1059957","","***","","***","","***","","***","","7230","","-4","","***","","1113545","","***","","***","","***","","1055183","","***","","***","","***","","***","","7179","","12","","31","","1108491","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01071","70歳","","664780","","***","","***","","***","","***","","4943","","-15","","***","","1052723","","***","","***","","***","","660888","","***","","***","","***","","***","","4898","","28","","-4","","1048047","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01072","71歳","","716905","","***","","***","","***","","***","","5927","","20","","***","","659822","","***","","***","","***","","712887","","***","","***","","***","","***","","5887","","29","","6","","656014","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01073","72歳","","871950","","***","","***","","***","","***","","7749","","-17","","***","","710998","","***","","***","","***","","868078","","***","","***","","***","","***","","7711","","-1","","15","","707035","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01074","73歳","","840721","","***","","***","","***","","***","","8206","","31","","***","","864184","","***","","***","","***","","836993","","***","","***","","***","","***","","8137","","19","","15","","860381","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01075","74歳","","861600","","***","","***","","***","","***","","9605","","-39","","***","","832546","","***","","***","","***","","858119","","***","","***","","***","","***","","9551","","-11","","9","","828890","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01076","75歳","","832064","","***","","***","","***","","***","","10273","","54","","***","","851956","","***","","***","","***","","828584","","***","","***","","***","","***","","10215","","36","","-2","","848566","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01077","76歳","","751753","","***","","***","","***","","***","","10504","","-4","","***","","821845","","***","","***","","***","","748531","","***","","***","","***","","***","","10448","","5","","9","","818403","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01078","77歳","","649348","","***","","***","","***","","***","","10532","","-4","","***","","741245","","***","","***","","***","","646556","","***","","***","","***","","***","","10456","","4","","10","","738097","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01079","78歳","","688637","","***","","***","","***","","***","","12983","","-9","","***","","638812","","***","","***","","***","","685967","","***","","***","","***","","***","","12898","","6","","10","","636114","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01080","79歳","","698214","","***","","***","","***","","***","","14864","","2","","***","","675645","","***","","***","","***","","695823","","***","","***","","***","","***","","14782","","7","","6","","673085","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01081","80歳","","689410","","***","","***","","***","","***","","17094","","3","","***","","683352","","***","","***","","***","","687099","","***","","***","","***","","***","","17002","","-8","","0","","681054","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01082","81歳","","649026","","***","","***","","***","","***","","18283","","5","","***","","672319","","***","","***","","***","","646856","","***","","***","","***","","***","","18189","","12","","5","","670089","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01083","82歳","","602633","","***","","***","","***","","***","","19670","","-16","","***","","630748","","***","","***","","***","","600796","","***","","***","","***","","***","","19593","","-13","","7","","628684","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01084","83歳","","589616","","***","","***","","***","","***","","22382","","-5","","***","","582947","","***","","***","","***","","588002","","***","","***","","***","","***","","22287","","-1","","3","","581197","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01085","84歳","","554378","","***","","***","","***","","***","","24196","","4","","***","","567229","","***","","***","","***","","552884","","***","","***","","***","","***","","24121","","11","","0","","565717","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01086","85歳","","515812","","***","","***","","***","","***","","26173","","-1","","***","","530186","","***","","***","","***","","514565","","***","","***","","***","","***","","26083","","-1","","-1","","528774","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01087","86歳","","465331","","***","","***","","***","","***","","27237","","-9","","***","","489638","","***","","***","","***","","464226","","***","","***","","***","","***","","27131","","-2","","2","","488480","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01088","87歳","","432115","","***","","***","","***","","***","","29028","","8","","***","","438085","","***","","***","","***","","431141","","***","","***","","***","","***","","28917","","10","","1","","437095","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01089","88歳","","391776","","***","","***","","***","","***","","30329","","-3","","***","","403095","","***","","***","","***","","390870","","***","","***","","***","","***","","30219","","-6","","3","","402235","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","01090","89歳","","***","","***","","***","","***","","***","","***","","***","","***","","361444","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","360648","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","02092","89＋90以上","","1822891","","***","","***","","***","","***","","264108","","-7","","***","","***","","***","","***","","***","","1819289","","***","","***","","***","","***","","263284","","-4","","3","","***","","***","","***","","***",""
"008","人口【人】","002","女","00000","全国","02093","90歳以上","","***","","***","","***","","***","","***","","***","","***","","***","","1558776","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1556004","","***","","***","","***",""
